GSM1003459	UBERON_0004111	anatomical conduit	http://purl.obolibrary.org/obo/UBERON_0004111	open	tissue	45182_sort_peaks.narrowPeak.bed
GSM1003462	UBERON_0004111	anatomical conduit	http://purl.obolibrary.org/obo/UBERON_0004111	open	tissue	45191_sort_peaks.narrowPeak.bed
GSM1003493	UBERON_0004111	anatomical conduit	http://purl.obolibrary.org/obo/UBERON_0004111	open	tissue	45147_sort_peaks.narrowPeak.bed
GSM1003515	CL_0001054	CD14-positive monocyte	http://purl.obolibrary.org/obo/CL_0001054	Monocytes	tissue	45449_sort_peaks.narrowPeak.bed
GSM1003515	CL_0000576	monocyte	http://purl.obolibrary.org/obo/CL_0000576	Monocytes	tissue	45449_sort_peaks.narrowPeak.bed
GSM1003515	UBERON_0004111	anatomical conduit	http://purl.obolibrary.org/obo/UBERON_0004111	open	tissue	45449_sort_peaks.narrowPeak.bed
GSM1003516	CL_0001054	CD14-positive monocyte	http://purl.obolibrary.org/obo/CL_0001054	Monocytes	tissue	45445_sort_peaks.narrowPeak.bed
GSM1003516	CL_0000576	monocyte	http://purl.obolibrary.org/obo/CL_0000576	Monocytes	tissue	45445_sort_peaks.narrowPeak.bed
GSM1003534	UBERON_0004111	anatomical conduit	http://purl.obolibrary.org/obo/UBERON_0004111	open	tissue	45452_sort_peaks.narrowPeak.bed
GSM1003535	CL_0001054	CD14-positive monocyte	http://purl.obolibrary.org/obo/CL_0001054	Monocytes	tissue	45446_sort_peaks.narrowPeak.bed
GSM1003535	CL_0000576	monocyte	http://purl.obolibrary.org/obo/CL_0000576	Monocytes	tissue	45446_sort_peaks.narrowPeak.bed
GSM1003536	CL_0001054	CD14-positive monocyte	http://purl.obolibrary.org/obo/CL_0001054	Monocytes	tissue	45448_sort_peaks.narrowPeak.bed
GSM1003536	CL_0000576	monocyte	http://purl.obolibrary.org/obo/CL_0000576	Monocytes	tissue	45448_sort_peaks.narrowPeak.bed
GSM1003537	CL_0001054	CD14-positive monocyte	http://purl.obolibrary.org/obo/CL_0001054	Monocytes	tissue	45436_sort_peaks.narrowPeak.bed
GSM1003537	CL_0000576	monocyte	http://purl.obolibrary.org/obo/CL_0000576	Monocytes	tissue	45436_sort_peaks.narrowPeak.bed
